Short Title:,Full Title:,Author,Author Org,Full Abstract Text:,Status:,Classification:,Presenter Type:,Track,Session Category:,Presentation Req:,Seheduling Req:,Objectives:,Comments:,Bio,Topic1:
Micro-ROV as Enablers in Education,Micro-ROV as Enablers in Education,"Goldstein, Andrew",VideoRay,"Robotics plays an increasing role in STEM education.   It provides for a systems level curricula which encompasses and integrates many disciplines:  mathematics, mechanical, electrical, and software engineering, and domain specific problem solving.     Adding the aspect of underwater exploration to the story makes the use of robotics even more compelling as a driver of improvements to STEM education.  The unique scientific component of underwater exploration allows for the combination of non-engineering scientific elements such biology, geology, oceanography and even archeology.
The commercial micro ROV provides benefits as an educational tool.   The primary benefits being ease of use and logistics, relative low cost, multiplicity of roles, and system completeness.   The microROV also enables a continuum of development which synchronizes well with other popular STEM efforts.
This talk will discuss some of the ways in which VideoRay fosters undersea robotics in educational roles.   The applicability to students in various stages of development from k-12 to post-graduate will be discussed.   Suggestions on ways other commercial organizations can more proactively support improvements to STEM education will be covered.",Accptd pnding mat'l,Contributed,MTS Member,Education and Academic Presentations,Presentation,"I request a bowl of m&ms, ONLY THE BLUE ONES!, and a bottle of Laphroig 30yo.",,,,"Andew Goldstein is the Director of Software Engineering at VideoRay LLC. and is the manager of the University Developer program.  Before VideoRay, he was chief software developer and part owner of Desert Star Systems.  He holds degrees in Materials Science Engineering and Computer Science.",Academic and Industry Partnerships
Missing Cave Diver Search,"1,300 ROV Penitration at Vortex Springs Florida","Lapinsky, Sam",Innovative Dive Equipment,"Our agency was contacted by the Holmes County Sheriff’s Office after all other efforts failed to locate the remains of a cave diver who reportedly failed to return to the surface after a deep cave penetration dive into Vortex Springs.
   Before we left to assist with our Pro 4 ROV we were told that the missing diver was believed to be deep in the cave (approx 1,400 feet), in an area where the diameter of the tube where the diver was thought to be was equal to the size of the diver. Before our arrival experienced cave divers had searched the inside of the cave, and penetrated approx 1,200 feet into the cave. It was hoped that the ROV could reach an additional 200 feet, which was the limit of the mapped system. This area of the cave was not much larger that the ROV itself, and the ROV, or any diver reaching this point would not be able to turn around to exit the cave.
   Unfortunately we were not able to locate the lost diver, but this presentation will review the challenges we encountered using an ROV in these most difficult circumstances, in a rarely attempted type of search and recovery mission. I will also talk about the equipment used during this attempted recovery, the support supplied by Video Ray, and the lessons learned during the mission.",,Contributed,not MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,Projector for Power Point presentation,,,,"                               Sam Lapinsky 11/10/2011

    My name is Sam Lapinsky and I have been working in law enforcement for the past 14 years. For the last 8 years I have been assigned to our agency's Marine Patrol Unit/Dive Rescue Team. In addition to my Marine Patrol duties I am also a Public Safety Scuba Instructor (Dive Rescue International), dive equipment repair technician, USCG licensed vessel Captain (100 Ton Master), and I am one of several persons in our unit responsible for operating and maintaining our electronic sensing, and search equipment.
  In addition to my Law Enforcement duties I also own a small company (Innovative Dive Equipment Inc.) where I manufacture and sell specialty dive accessories.
    I’ve been diving for 31 years, and in the early 80’s, before my Law Enforcement career, I was employed as a wreck salvage diver. I was first introduced to electronic devices used to locate things underwater during this time. Later in the 80’s I was employed as a dive boat Captain.
   Finding things underwater has long been a passion of mine, and as a member of different teams I have been part of many successes locating objects underwater.",Public Safety use of small ROVS
MTS MUV 2011 Overview,MTS Overview of Manned Sub Activity in 2011,"Kohnen, William",HYDROSPACE Group,"A yearly review of the state of the Manned Submersible industry in 2011. The overview will look at developments in all branches of activity, including international research, tourism activity, leisure and security developments. This will include a summary of submersibles under Classification, operating and in construction, review of the industry trends and regulatory highlights for the year.",Accepted - complete,,MTS Member,Manned Underwater Vehicles,Extended,Basics only,Opening Presentation,,,"Mr. William Kohnen is President of Hydrospace Group which provides specialized integrated solutions for underwater intervention using manned vehicle systems. Mr. Kohnen is the co-founder of SEAmagine Hydrospace Corp. which specializes in the design and construction of manned submersibles. Since 1995, SEAmagine delivered nine submersibles that are depth rated from 150 to 1500 ft. Mr. Kohnen has a background in aerospace with a M.Sc. Electrical Engineering from McGill University, Canada. He has been chair of the Marine Technology Society Manned Underwater Vehicles Committee since 2003 and organizes the yearly MTS MUV program at the Underwater Intervention conference to cover the many issues regarding the manned submersible industry. Mr. Kohnen is an active member of the Deep Submergence Pilot Association and an active member of the ASME Pressure Vessel for Human Occupancy (PVHO) Committee. He is also engaged as an industry representative on the ALVIN Replacement HOV Oversight Committee (RHOC). He has over 15 years experience working with the US Coast Guard and ABS rules and regulations for building submersibles and is a member of the ABS Special Committee on Underwater Systems and Vehicles.","MUV Updates, New Programs & Projects"
MUV exploration 1/2 Mile Down,"MUV exploration to 1/2 mile depths for pennies on the dollar, 4,000 hours later","Stanley, Karl",Stanley Submarines,"This presentation will trace the development and use of two manned submersibles on budgets that are a fraction of other vehicles with similar capabilities.  The first one of these was began in 1989 and named C-BUG (Controlled by Buoyancy Underwater Glider). It was one of the first winged subs ever made and enjoyed a successful career spanning over 550 dives in three countries. The next vehicle was named Idabel, and despite an initial budget of under 100k it has made over 900 dives to depths of up to half a mile.   In addition to keeping manufacturing costs low, operating costs have been kept low as well by a location choice that offers immediate access to deep water without the need for a support craft of any sort. A third aspect to the low operating costs has been the engineering of Idabel for minimum displacement. This craft carries two passengers and a pilot and weighs in at just over 9,000 pounds, making it not only less expensive to build and operate, but giving it a distinct advantage for photography. This formula has resulted in dive rates that start at just $400 per person for a 1000 foot dive, and a day rate of $2,000 for up to 6 hour-long dives.",Submitted for Review,,MTS Member,Manned Underwater Vehicles,Presentation,,,,,,Manned Sub Operations & Projects
Navy Hull Inspections,Leveraging divers and ROVs to collect  data on Navy ships,"Curran, Joseph",Naval Surface Warfare Center Carderock Division,"In order to quantify the effect of biofouling on ship performance, an accurate measure must be made of the fouling on the ship. This biofouling is very dependent on timing and ship service. Inspections must be carried out immediately after a ship’s return, and before a deployment. Not only are multiple, repeatable points to be inspected on the ship, but the ability must exist to do so anywhere in the world and on short notice. Both divers and ROVs were utilized to accomplish this mission.
By utilizing both divers and ROVs, NSWC Carderock Division has been able to provide a consistent, high-quality survey of Navy ship hulls to meet the goals of the experiment. The lessons learned from over 60 hull inspections in two years will be shared. These include comments on rapid response, ship tagouts, ruggedization for air shipment of systems, and a novel CONOP for small-footprint operation on a pier. Divers and ROVs need not be competitors. By playing to the strengths of both, a much better product can be produced, and vital data can be gathered that would otherwise be missed.",Accptd pnding mat'l,Contributed,MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,Standard AV equipment is fine,Unavailable in the afternoon of 26 January. Otherwise open.,To educate and pass on some of the hard-earned lessons of working with small-ROVs and divers on Navy ships.,,"Mr. Joseph Curran has been working with underwater vehicle systems for 12 years. He has operated AUVs at MIT, ROVs for the Navy, and has been a guest expert on Junkyard Wars for TLC. He currently works for the Naval Surface Warfare Center, Carderock Division, in West Bethesda, MD.",Port Security use of small ROVs
Navy Unmanned Systems Experimentation Lab,Bringing Technology to Customers & Markets Faster Through Experimentation,"Klose, John",Naval Surface Warfare Center,"Technical innovations are occurring at an ever-increasing rate and create new challenges for both government and industry engineers to take advantage and transition new technology to meet their operational and business needs. Finding rapid technology transition and product development processes that can keep pace with technological innovations is key to bringing the best technology to our customers. To this end, the Naval Surface Warfare Center's Panama City Division has created a special laboratory for unmanned systems experimentation, prototyping and technology transition that is seeking to rapidly develop innovative applications of new and existing technology in modular forms in order to bring new operational concepts to life in much shorter timeframes than normal system development processes.
This presentation will cover the initial efforts of this laboratory to develop new innovative Operational Concepts for Explosive Ordnance Disposal forces, Anti-Terrorism/Force Protection (AT/FP) forces, and Maritime Critical Infrastructure Protection using modular, Micro Unmanned Surface Vessel (USV) technology. The presentation will focus on processes for creating modular hardware and software architectures, conducting important experiments in the operational environment, and finding or developing new technologies that open up new possibilities for innovative changes to operational concepts or market segments.",Accptd pnding mat'l,Contributed,not MTS Member,Engineering Topics Not Covered by Other Tracks,Presentation,"Standard audio visual set-up only. May bring video files, but can run off my work computer.",None,Educate government and industry on how to develop and transition technology into the market place faster and with more direct impact to tradtional market segments. Educate government and industry on the Navy'sNew Unmanned Systems Experimentation Lab.,,"Cdr. John P. Klose is a retired submarine officer and project engineer at the Naval Surface Warfare Center Panama City Division. He has worked for over 25 years with a variety of teams to develop new combat, weapons, C4I, Special Operations Maritime Mobility, and EOD systems. He has a significant backgorund in rapid prototyping, experimentation, and using Government programs such as the Small Buisness Innovaton Research program to foster and promote rapid technology development.",Port Security use of small ROVs
New autonomous survey capabilities for ROVs,New autonomous survey capabilities for microROVs,"Tena, Ioseba",SeeByte,"The low-logistics associated with microROVs make it an ideal platform for rapid deployment. With microROVs, first respondents are able to rapidly mobilize to an area, run a survey and interact with the subsea environment if required. The time it takes to run a search and the confidence to report that the area has been cleared is often time-crucial for the success of the mission. Recent advances in technology have seen the introduction of software solutions to automate and simplify the piloting of the ROV by analyzing data gathered from navigation and sonar sensors.  Over the last few years technology developments have reduced the size of these sensors and it is now possible to introduce some of the technologies in use with observation-class and work-class ROVs. This talk explores a solution that integrates a phased array Doppler Velocity Log with a microROV and enables a true survey capability that, to date, would normally only be found with Autonomous Underwater Vehicles. The Survey-Control software simplifies the piloting of ROVs, improves the situational awareness of the operator and increases the pace of operations.  With this tool, first respondents will be able to fly the ROV with significantly less training and guide the ROV precisely around the environment.",,Contributed,not MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,Need projector,,,,"Ioseba Tena, SeeByte
Andy Goldstein, VideoRay",Inshore use of small ROVs
New Developments in Acrylics,New Developments in Pressure Vessel Applications of Acrylics,"Kemper, Bart","Kemper Engineering Services, LLC","Acrylics are a proven, reliable material for submersible viewports.  The current codes and standards reflect a first-generation development of defining a nonmetallic for pressure vessel application.  Kemper Engineering Services, Blanson Ltd., Atlantis Submarines, and Hydrospace Group are building on decades of in-service data to potentially expand the application of acrylics.",Submitted for Review,Invited,not MTS Member,Manned Underwater Vehicles,Presentation,,I am also offering a session in the diving section.,,,"Bart Kemper, P.E. is the principal engineer for Kemper Engineering Services, LLC.  Based in Baton Rouge, LA, Kemper has 20 years experience in engineering ranging from pressure vessels to mechanisms to computer simulations to shock, blast and ballistics.  His work has ranged from saturation diving systems to down hole tools to aerospace and marine applications.  Past recognitions include being one of the Top 10 Federal Engineers in 2007.  He is a member of the ASME Pressure Vessels for Human Occupancy (PVHO) codes and standards committee, has written numerous professional articles, and has several patents and patents pending.",New Advanced Technologies for Manned Subs
Non-traditional uses of micro-ROV,Non-traditional uses of micro-ROV,"Goldstein, Andrew",VideoRay,"Remotely operated vehicles have become a commonplace undersea tool.  However there are still people pushing the boundaries of technological development and finding new ways to repurpose current technology to new tasks.
The micro-ROV lends itself to non-traditional use more so than its bigger brethren.  The lower cost, lower complexity, and ease of transportation and operational insertion promote novel uses and experimentation.  The micro-ROV also packs many capabilities into a systems package: imaging and navigation sensors, propulsion, illumination, pressure vessel, power, communications, etc.
This talk will discuss some examples of such non-traditional uses by VideoRay customers and ways in which manufactures can foster and leverage this type of end-user application.",,Contributed,MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,,,,,"Andew Goldstein is the Director of Software Engineering at VideoRay LLC. and is the manager of the University Developer program.  Before VideoRay, he was chief software developer and part owner of Desert Star Systems.  He holds degrees in Materials Science Engineering and Computer Science.",Use of other sensors on small ROVs
Ocean-Going Diesel-Electric Submarine,"Development of a commercial, Ocean-going, diesel electric submarine for extended operations at sea.","Phaneuf, Brett",Submergence Group,"Since 1986 MSUBS has been producing small, diesel-electric submersibles; coupled with recent rapid prototypng projects, in concert with Submergence Group, that produced manned and unmanned vehicles ranging from 10-65 tons, MSUBS and Submergence Group have embarked on a project to produce the world's first privately owned and operated ocean-going diesel-electric submarine for research purposes.  The submarine, as yet unnammed, will be approximately 30 meters in length with a beam of nearly 4 meters and be capable of diving to 300msw and trasitting vast ocean distances while snorkelling.  The presentation will provide an overview of the submarine design and production plans.",Submitted for Review,Contributed,not MTS Member,Manned Underwater Vehicles,Presentation,,,,,,Manned Sub New Construction & Upgrades
Overview of ABS Rule Change Proposals,Overview of ABS Rule Change Proposals for 2012 (Annual ABS - Industry Meeting),"Thomas, Roy",American Bureau of Shipping,"Open meeting of the American Bureau of Shipping (ABS) with the subsea industry to review proposed rule changes to the ABS Rules for Building and Classing Underwater Vehicles, Systems and Hyperbaric Facilities. The meeting facilitates an open dialogue with the industry on current issues that work well or do not work. All active designers, fabricators, owners and operators are invited to attend and provide feedback.",Accptd pnding mat'l,Contributed,not MTS Member,Manned Underwater Vehicles,Presentation,,I would request that my presentation be scheduled for 25 January morning.,,,"Roy Thomas is a Principal Engineer with the American Bureau of Shipping (ABS), Houston, TX. He has worked with ABS for the past 9 years and is responsible for the design approval of lifting appliances and underwater vehicles/systems. Prior to joining ABS, Mr. Thomas worked as a seagoing marine engineer.

Mr. Thomas is the author of various technical papers and a number of new sections of the ABS Underwater Rules including “Diving Systems” and “Lock-out Submersibles”. He is an active participant on various industry committees including the ASME Committee on Pressure Vessels for Human Occupancy. Over the last few years, he has been conducting the annual ABS - Industry meeting at the Underwater Intervention Conference. He also serves as an instructor for the courses “Classification of Submersibles” and “Classification of Diving Systems” conducted by the ABS Academy.

Mr. Thomas holds a master’s degree in Naval Architecture from Memorial University of Newfoundland (MUN), Canada and a bachelor’s degree in Marine Engineering from Marine Engineering and Research Institute (MERI), India.",Manned Sub Safety Advances and Regulations
Pile Restoration and Protection,FX-70 Inert Corrosion Free Fiberglass Jacket System for Pile Restoration and Protection,"Scheffel, Carl","Fox Industries, Inc.","Originally presented at the Transportation Research Board in January 2011.  This paper discusses systems and techniques that have been utilized to restore the structural integrity and protect concrete, steel, and woodpiles for more than 35 years. Many bridges in active use today are well beyond their intended designed life.  Since it would be much too costly and time consuming to replace these bridges with new bridges, proven repair and rehabilitation systems are critical to the life and safety of these structures. This paper will discuss the use of the FX-70 Inert Corrosion Free fiberglass jacket system that utilizes FX-70-6 Hydro-Ester Multipurpose Marine Epoxy and FX-225 Underwater Mortar specifically designed for bridge pile restoration.",Plan to Accept,Contributed,not MTS Member,Commercial Diving,Presentation,Standard Audio Visual Set Up is fine,n/a,"To educate marine contractors and engineers on proven longevity and affordability of the FX-70 Inert Corrosion Free Fiberglass Jacket System. This system enables fast repairs with no or minimal downtime, all the while restoring structural integrity to the original piling.",,"Carl Scheffel Sr. P.E. is President and Chief Engineer of Fox Industries, Inc. Carl has been with Fox since 1970 and is a minority shareholder. He has provided countless material recommendations to consultants and public agencies regarding the selection and applications of engineered materials specified for both new construction and rehabilitation including the FX-70 Inert Corrosion Free Fiberglass Jacket System. Carl’s knowledge of underwater construction methods relating to piers, piles, bulkheads and structures is world renowned.

Prior to joining Fox Industries, Carl spent 15 years as a Consulting Engineer with Rummel, Klepper & Kahl of Baltimore, Maryland where he worked as both a Construction Project Engineer and as a Bridge Design Engineer. Highlights of his career include project design/ construction engineering for the Jones Falls Expressway (I-83) in Baltimore, I-95 (John F. Kennedy Memorial Highway) in Maryland and I-95 in North Carolina. Carl is Director Emeritus of the Maryland Association of Engineers, having previously served in many positions including President. Carl is a frequent exhibitor at World of Concrete, PORTS (ASCE) and Underwater Intervention, and a speaker at Transportation Research Board in Washington DC, 2011 and 2006, and International Bridge Conference, Pittsburgh PA, 2006",Other topics in Commercial Diving
Plastic Parts for Undersea Applications,Plastic Parts for Difficult Undersea Applications,"Underwood, Robert",Polymer Corporation,"Metal parts hate water, especially salt water. Add the effects of depth pressure and the rough operating conditions often experienced in the field and the marine parts designer faces unique and difficult challenges.  Frequently plastic is the answer.  Advances in plastic materials and manufacturing processes make that increasingly the case.  Plastic neither rusts nor corrodes, can be as tough as metal, is lightweight, has no magnetic signature, and can be formed into a wide variety of shapes.  Plastic parts can be designed to withstand extreme depth pressures, to minimize or eliminate leak paths, not to outgas, and for specific underwater signal reflection, transmission, or attenuation characteristics.  Plastic can be used to encapsulate delicate electronics, GPS modules, antennae, and power connectors.  This presentation provides an overview of the present state of the art in plastics materials and manufacturing processes for undersea applications and highlights particularly difficult missions where plastic parts have been critical to success.  Highlighted missions include:
•	AUVs discovering Air France 447 wreckage 2 ½ miles down in the Atlantic
•	Combat divers mapping a harbor minefield
•	Navy SEALS conducting  underwater special ops
•	In-situ instruments monitoring ocean conditions for weather forecasting and climate modeling
•	ROVs  working on the floor of the Gulf of Mexico

For over thirty years, Polymer Corporation has been a leading producer of high-performance plastic parts and assemblies for undersea use.",Accptd pnding mat'l,Contributed,not MTS Member,Engineering Topics Not Covered by Other Tracks,Presentation,,,,,"Bob Underwood is the President and CEO of Polymer Corporation. Polymer Corporation is a low to medium volume plastic manufacture of custom plastic parts and assemblies of the marine and scientific industries.


  Mr Underwood is also a founding Partner of North American Funds and sponsored a management lead buy out of Polymer in 2008.  Previous experience with Lockheed and TRW plus with US Government at DOT and OMB.
   Mr Underwood  holds a BS in Mechanical Engineering and MS and PhD in Aeronautics and Astronautics from Stanford University, plus MBA from Santa Clara University.

His previous experience with Lockheed and TRW plus with US Government at DOT and OMB
    BS in Mechanical Engineering and MS and PhD in Aeronautics and Astronautics from Stanford University, plus MBA from Santa Clara University",Presentation on New or Advanced Technology
Pressure Tolerant Batteries for Subsea use,Modular Pressure-Tolerant Batteries for Subsea Applications,"Wilson, Richard",Bluefin Robotics,"Subsea power has long been identified as a challenging component of designing and operating underwater equipment. There is a continuous demand for reliable energy sources that allows equipment to run for longer, operate at deeper depths, and offer enhanced performance.
This presentation will outline the challenges of subsea power and describe the benefits of modular pressure-tolerant batteries. It will also highlight how this type of battery can effectively be used to supply power for a multitude of subsea applications such as AUVs, ROVs, benthic instrumentation and actuation of subsea equipment.
The talk will describe the characteristics of the underlying technology, the design methodology and historical development and the characteristics of pressure-tolerant batteries ranging from small replaceable units (1.5kWh / 30V) to larger units (29.6kWh /  240V). Field data of the battery performance in AUVs and possibly other platforms will also be presented.
Additionally, a new method of achieving safer performance of lithium-based battery packs will be presented. The method essentially prevents the propagation of fire among cells within a pack effectively yielding a safer energy supply. Recent research was conducted that included testing of fundamentally safer cells that shut down following an unsafe event. Results from this research will be shared.",Accptd pnding mat'l,Invited,not MTS Member,Engineering Topics Not Covered by Other Tracks,Presentation,,,,,"Dr. Richard Wilson is the Director of Power and Electrical Systems at Bluefin. He has over ten years experience in the design of AUVs and has made significant contributions to Bluefin's pressure-tolerant battery and power systems. Dr. Wilson was the project manager and designer of a number of battery products including an 8.8 kWh pressure tolerant battery designed for use in large battery systems, and also the smart-battery electronics board and power control systems that are used across the battery range. In addition, he has served as project manager for the GAMBIT AUV (ONR-sponsored joint US/UK sonar test bed vehicle) and has led the design of all of the electrical systems that are used on the Bluefin vehicles. Prior to joining Bluefin, Dr. Wilson was employed by the Proudman Oceanographic Laboratory in the UK developing marine instrumentation.
Dr. Wilson holds a Postdoctoral degree in Electro-Mechanical Design/instrumentation, a  Masters degree in Electro-Mechanical Design/Technology and aBachelor of Engineering in Electrical and Electronics Engineering from Plymouth University in the UK.",Presentation on New or Advanced Technology
Ram Bala,A Comprehensive Procedure for Survey and Artifact Identification Using Iver2 - A Case Study,"Balasubramanian, Ramprasad",University of Massachusetts Dartmouth,"In this talk we present a comprehensive survey procedure developed in-house and deployed on a recent survey mission in Mount Hope Bay to locate two ship wreckages using an Iver2. The vehicles were equipped with a Klein Side Scan Sonar, an Imagenex Delta-T multi-beam sensor and a Sontec Doppler Velocity Log (DVL) sensor. We present details on the in water compass calibration procedure that was developed using an Extended Kalman Filtering approach.   In addition, details on mission specification, localization including slant range correction and logging of multi-beam and side-scan sonar data are also presented. The multi-beam and side-scan data are prost-processed for automatic as well as manual artifact identification. Some sample results are also presented. We envision this comprehensive approach to be adopted for  multiple applications such as SLAM, hydrographic survey and underwater inspection missions.",Submitted for Review,Contributed,not MTS Member,"Exploration, Research, and Presentations on Shipwrecks",Presentation,A projector with a laptop hook-up,None at this time,"To present the latest findings in our continued efforts on multi-sensor data fusion, instrument calibration and working with iVer2 AUVs",,"Dr. Balasubramanian is an Associate Professor of Computer Science in the Department of Computer and Information Science at the University Of Massachusetts Dartmouth (UMass Dartmouth). He works with the Advanced Technology Manufacturing Center (ATMC) of UMass Dartmouth as well as OceanServer Technologies, Fall River, MA. His research interests include multi-sensor data fusion, multi-auv collaboration and coordination. He continues to work on several projects related to the US Navy and the Office of Naval Research.",
Realizing True Benefits of Real-Time 3D Sonar,Realizing the True Benefits of Real-Time 3D Imaging Sonar Technology,"Cunningham, Blair","Coda Octopus Group, Inc","This paper discusses some of the unique benefits of the use of real-time 3D imaging sonar technology as a multi-discipline sensor. This technology can provide exceptional data in real-time monitoring applications as well as mapping and survey applications, saving considerable money in complex and time sensitive operations. With the benefit of fully geo-referenced 3D data sets for every ping, the use of CGI (Computer Generated Imagery) is possible, allowing a fully immersive ""augmented reality"" environment for operators, engineers and clients all in real-time. In addition to the real-time monitoring benefits, 3D imaging sonar provides huge data redundancy which is available for in-line processing algorithms to improve accuracy, provide automatic noise and clutter removal, and produce incredible image detail over what could be normally achieved by current 2D and multibeam sonar technology.",Submitted for Review,Contributed,not MTS Member,Instruments and Sensors,Presentation,,,,,,
RHOV Personnel Sphere Update,RHOV Personnel Sphere Update - The End is in Sight,"Henkener, Jerry",Southwest Research Institute,"October 3, 2011

Abstract for UI-2012

RHOV PERSONNEL SPHERE UPDATE - THE END IS IN SIGHT

Southwest Research Institute® (SwRI®) is under contract to WHOI to design, fabricate and test the titanium personnel sphere that will be installed in the upgraded ALVIN submersible. SwRI is nearing completion of the fabrication and testing phases for the new personnel sphere. The personnel sphere will be tested in the Annapolis Test Chambers for a 6500 MSW maximum operating depth. The fabrication and testing had been expected to be completed but the decision to have the personnel sphere dual certified by both ABS and NAVSEA has resulted in schedule delays. All major weldments and the final machining of all components have been completed without experiencing any appreciable distortion or change in out-of-sphericity. Component assembly and structural validation tests are in progress. Stud welding procedures for the viewport windows and the hatch have been developed and are being employed.  A strain gauge location plan is being developed based upon an as-built dimensional FEA model and analysis. A comprehensive hydrostatic test procedure is being developed and going through the dual approval process leading up to the hydro test in the Spring of 2012.  SwRI will deliver the sphere and documentation to WHOI after the hydro test to complete our contract. The status and activities since last year and activities to complete the personnel sphere in 2012 will be discussed

Jerry Henkener
Southwest Research Institute",Accptd pnding mat'l,Contributed,not MTS Member,Manned Underwater Vehicles,Presentation,,,,,Jerry Henkener,Manned Sub New Construction & Upgrades
RHOV Project - ALVIN Update,ALVIN SUBMERSIBLE UPGRADE PROGRAM,"Uetz, Kurt",WHOI,Woods Hole Oceanographic Institution (WHOI) is developing a new deeper diving submersible by upgrading the present ALVIN in stages. The upgraded ALVIN will ultimately have an increased operating depth from 4500 MSW to 6500 MSW. The project at WHOI is being accomplished in two phases. .  .    .,Submitted for Review,,MTS Member,Manned Underwater Vehicles,Presentation,,,,,,Manned Sub New Construction & Upgrades
ROV Automation,"Navigation, Object Tracking and Data Monitoring in Real-Time for ROV Automation","Tena, Ioseba",SeeByte,"The last five years has seen the advent of commercial-off-the-shelf (COTS) Remotely Operated Vehicle (ROV) automation solutions. The challenges posed by a rapidly expanding ROV pilot workforce, dynamic working environments and increasing demands on quality and performance have been the main drivers for this technology. A good example of its application is the 2008 Doc Ricketts vehicle. This was a Workclass ROV (WROV) equipped with the basic autonomy building blocks to enable station keeping, waypoint following and object tracking. The Doc Ricketts WROV is still in active service with MBARI. This basic capability paved the way for commercial applications and now station keeping is a standard option. More recently, Jan De Nul Fall Pipe ROV is an example that uses COTS sophisticated cruise and mission planning modules. This world's first enables precise positioning of the ROV over a pipeline as it swings from side to side and places rocks over the product. Available capabilities today include real-time monitoring and control of multiple ROVs relative to chart data, mid-water DP using INS and tracking sonar, pre-lay survey flight modes and hands-off touchdown monitoring using sonar. The combination of data from optical cameras with 3D sonar imaging will further enhance the mapping of the subsea environment to facilitate various activities such as mission planning and training.

The purpose of this talk is to provide an insight into this technology and a glimpse of what to expect in the immediate future.",Accptd pnding mat'l,Invited,not MTS Member,Work Class Remotely Operated Vehicles,Presentation,Projector,,,,"Mahesh Menon, SMD (First author)
Ioseba Tena, SeeByte (co-author)",Control Systems and Software for Work Class ROVs
ROV competition,From ROV competition to subsea technology,"Lyakhov, Dmitry",Inst.of Marine Technol. Problems,"In result of MATE activities in educational field, specifically - ROV Competition, 2010 winner student ROV has been successfully commercialized this year. The supply from  Institute of Marine Technology Problems was for Russian Far East Maritime State University  for educational as well as coastal and port/harbor applied  marine research
This paper reviews relatively fast evolution showing that participation in student’s competitions opens the doors to industry. Details of development project and ROV itself  described pointing the evolution from student “toy” to real product. The issue of growing demand in UUV operator/technician staff is presented from educational establishment’s side.",Accptd pnding mat'l,,MTS Member,Education and Academic Presentations,Presentation,  Standard audio visual set-up,,Maritime education,,,Academic and Industry Partnerships
ROV Cutting Tools,"ROV deployed tools for cutting ropes, umbilicals, cables and pipelines","Elliot, Keith",Allspeeds Ltd (Webtool),"ROV deployed cutting tools are an important part of the subsea toolbox, and are essential equipment for the installation  and decommissioning of subsea tiebacks and other subsea installations.
An overview of the available technologies will be discussed, with particular focus given to the correct selection of the tool to suit the application.  Guidance will be given regarding the safe deployment, use, retrieval and storage of subsea cutting tools, with particular focus on those deployed by ROV to deep water.
Improvements in the strength of wire rope technology and the increasing use of aramid based soft lines pose particular challenges to current cutting technology.  This will be discussed along with improvements that can be made to ensure modern cutting tools are capable of producing the cutting forces required whilst still maintaining a low enough weight and size for ROV deployment.",Accptd pnding mat'l,Invited,not MTS Member,Work Class Remotely Operated Vehicles,Presentation,No special requirements,No special requirements,Awareness of the capabilities of ROV cutters.  Important safety awareness regarding high pressure subsea tools.  Changes in the market towards compacted wire ropes and aramid fibre ropes and the resulting changes to tool design.,,"Allspeeds Ltd are a renowned UK engineering company with prominent brands such as Tangye, Millingford International (API 11AX-0034) and Webtool and have been designing and manufacturing subsea tooling for over 25 years.
Keith Elliot has been with the company for 6 years and is Engineering Director responsible for the Design and Manufacture of all the companies products.",ROV Tooling for Work Class ROVs
ROV Dredging Using Advanced Techniques,ROV Dredging Using Advanced Techniques,"Kros, Hans",Oceaneering Intl.,"Trends in underwater salvage and excavation markets indicate improved access
to remote areas and complex dredging methods are more available to subsea
operators than previously.

Deepwater and ultra-deepwater decommissioning and salvage efforts have
forged alternatives to standard vertical access and mass excavation
techniques. For structural removal, horizontal penetration is possible
beyond normal vertical dredge pumping. Hydraulically driven dredge pumps
placed on the sea bed and connected with long-length hydraulic hoses deliver
power from host vessels on the surface.

Advanced imaging equipment can penetrate fixed structures in zero visibility
conditions. This allows more precise ROV manipulation of excavation tooling.
Combined with real-time ROV positioning, these imaging tools enable the ROV
to navigate with""acoustic"" cameras.

Modern subsea field developments have tighter templates with more densely
located subsea assets. When excavating these templates, horizontal
transportation of the spoils prevents other asset areas from potential
burial.

Drill cuttings often deposit around wellheads during drilling operations.
ROVs equipped with dredging hardware can disperse the drill cuttings to
desirable areas in the adjacent vicinity, keeping wellheads clear and even
with the natural sea bottom.",Accptd pnding mat'l,Invited,not MTS Member,Work Class Remotely Operated Vehicles,Presentation,"Standard audio visual set-up: screen, projector and microphones",,Expose the audience to alternative methods to subsea excavation in particularly challenging environments.  And distributing the project experience and track record of the technology.,,,ROV Tooling for Work Class ROVs
